ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-28,312.0,2024-06-07,2023,final
2023-11-21,30.0,2023-11-30,2023,interim
2023-05-05,325.0,2023-05-12,2022,final
2022-05-23,295.0,2022-05-30,2021,final
2021-09-23,35.0,2021-09-30,2021,interim
2021-05-24,325.0,2021-05-31,2020,final
2020-05-13,285.0,2020-05-19,2019,final
2019-09-09,35.0,2019-09-19,2019,interim
2019-05-08,204.0,,2019,interim
2019-05-03,204.0,2019-05-24,2018,final
2018-05-09,160.0,2018-05-30,2017,final
2017-05-05,115.0,2017-05-26,2016,final
2016-04-22,106.5,,2015,final
2015-04-28,94.5,,2014,final
2014-05-09,75.5,,2013,final
2013-05-14,73.0,,2012,final
2012-05-08,63.5,,2011,final
2011-05-25,51.0,,2010,final
2010-06-03,39.0,,2009,final
2009-05-26,40.0,,2008,final
2008-05-26,28.0,,2007,final
2007-05-24,17.5,,2006,final
2006-06-22,10.0,,2005,final
