ex_date,dividend,payment_date
2024-11-22,7.0,2024-12-11
2024-06-24,6.0,2024-07-01
2023-11-24,15.0,2023-11-30
2023-06-23,7.5,2023-07-03
2022-07-08,5.5,2022-07-20
2021-07-02,3.75,2021-07-23
2020-09-03,7.5,2020-09-24
2019-06-13,7.5,2019-06-27
2018-12-19,3.75,2019-01-08
2018-07-03,4.25,2018-07-25
2017-12-27,3.75,2018-01-15
2017-06-30,29.0,
2017-06-22,7.25,2017-07-14
2016-06-23,3.5,
2015-06-11,2.5,
2014-07-10,1.75,
2013-07-04,1.75,
2012-07-06,3.5,
2011-07-08,7.0,
2010-07-01,1.5,
2009-10-01,0.25,
2008-06-09,0.1,
2004-06-22,0.05,
2003-07-22,0.1,
