ex_date,dividend,payment_date
2024-10-16,19,2024-10-24
2024-05-03,34,2024-05-22
2023-10-17,13,2023-10-24
2023-04-13,21,2023-05-05
2022-10-18,8,2022-10-24
2022-04-25,19,2022-05-13
2021-10-15,7,2021-10-22
2021-04-23,9,2021-05-11
2020-10-15,5,2020-10-20
2020-06-19,49,2020-07-06
2019-10-10,25,2019-10-23
2019-04-23,50,2019-05-10
2018-10-09,30,2018-10-22
2018-04-19,51,2018-05-11
2017-10-11,25,2017-10-20
2017-04-21,49,2017-05-12
2016-09-30,27,
2016-04-28,93,
2015-09-29,25,
2015-04-24,52,
2014-10-10,25,
2014-05-19,44,
2013-10-03,18,
2013-05-10,61,
2012-10-16,15,
2012-05-15,50,
2011-11-03,12,
2011-05-30,25,
2010-10-28,10,
2010-06-15,14,
2009-11-02,6,
2009-06-10,8,
2008-10-24,10,
2008-06-11,32,
2007-10-26,8,
2007-05-31,40,
2006-10-19,8,
2006-06-06,25,
